rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
141,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,6,6,90,90,84,84,snapshot_2026_05_21.json,snapshot_2026_05_14.json
142,map,saltillo,Saltillo,rslurry,slurry,https://github.com/rslurry,6,6,82,82,76,76,snapshot_2026_05_21.json,snapshot_2026_05_14.json
143,map,daejeon-4,Daejeon (40km×40km),kimth9,kimth9,https://github.com/kimth9,6,6,62,62,56,56,snapshot_2026_05_21.json,snapshot_2026_05_14.json
144,map,yukina-nakadoori,中通り (Nakadōri),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,37,37,31,31,snapshot_2026_05_21.json,snapshot_2026_05_14.json
145,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,5,5,238,238,233,233,snapshot_2026_05_21.json,snapshot_2026_05_14.json
146,map,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,5,5,150,150,145,145,snapshot_2026_05_21.json,snapshot_2026_05_14.json
147,map,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,5,5,148,148,143,143,snapshot_2026_05_21.json,snapshot_2026_05_14.json
148,map,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,5,5,143,143,138,138,snapshot_2026_05_21.json,snapshot_2026_05_14.json
149,map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,5,5,115,115,110,110,snapshot_2026_05_21.json,snapshot_2026_05_14.json
150,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,5,5,114,114,109,109,snapshot_2026_05_21.json,snapshot_2026_05_14.json
151,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,5,5,114,114,109,109,snapshot_2026_05_21.json,snapshot_2026_05_14.json
152,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,5,5,112,112,107,107,snapshot_2026_05_21.json,snapshot_2026_05_14.json
153,map,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,5,5,105,105,100,100,snapshot_2026_05_21.json,snapshot_2026_05_14.json
154,map,mfn-northwestar,Northwest Arkansas,crumpetime,muffintime,https://github.com/crumpetime,5,5,103,103,98,98,snapshot_2026_05_21.json,snapshot_2026_05_14.json
155,map,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,5,5,103,103,98,98,snapshot_2026_05_21.json,snapshot_2026_05_14.json
156,map,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,5,5,90,90,85,85,snapshot_2026_05_21.json,snapshot_2026_05_14.json
157,map,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,5,5,77,77,72,72,snapshot_2026_05_21.json,snapshot_2026_05_14.json
158,map,ulsan-3,Ulsan (30km×30km),kimth9,kimth9,https://github.com/kimth9,5,5,49,49,44,44,snapshot_2026_05_21.json,snapshot_2026_05_14.json
159,map,yukina-kumamoto,熊本 (Kumamoto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,5,5,25,25,20,20,snapshot_2026_05_21.json,snapshot_2026_05_14.json
160,map,trondheim-no,Trondheim,rslurry,slurry,https://github.com/rslurry,5,5,5,5,0,0,snapshot_2026_05_21.json,snapshot_2026_05_14.json
161,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,4,4,155,155,151,151,snapshot_2026_05_21.json,snapshot_2026_05_14.json
162,map,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,4,4,145,145,141,141,snapshot_2026_05_21.json,snapshot_2026_05_14.json
163,map,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,4,4,133,133,129,129,snapshot_2026_05_21.json,snapshot_2026_05_14.json
164,map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,4,4,129,129,125,125,snapshot_2026_05_21.json,snapshot_2026_05_14.json
165,map,bari,Bari,Maximilian284,max02,https://github.com/Maximilian284,4,4,105,105,101,101,snapshot_2026_05_21.json,snapshot_2026_05_14.json
166,map,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,4,4,105,105,101,101,snapshot_2026_05_21.json,snapshot_2026_05_14.json
167,map,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,4,4,104,104,100,100,snapshot_2026_05_21.json,snapshot_2026_05_14.json
168,map,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,4,4,97,97,93,93,snapshot_2026_05_21.json,snapshot_2026_05_14.json
169,map,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,4,4,83,83,79,79,snapshot_2026_05_21.json,snapshot_2026_05_14.json
170,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,4,4,72,72,68,68,snapshot_2026_05_21.json,snapshot_2026_05_14.json
171,map,gwangju-4,Gwangju (40km×40km),kimth9,kimth9,https://github.com/kimth9,4,4,60,60,56,56,snapshot_2026_05_21.json,snapshot_2026_05_14.json
172,map,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,4,4,60,60,56,56,snapshot_2026_05_21.json,snapshot_2026_05_14.json
173,map,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,4,4,55,55,51,51,snapshot_2026_05_21.json,snapshot_2026_05_14.json
174,map,yukina-tsugaru,津軽 (Tsugaru),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,4,4,54,54,50,50,snapshot_2026_05_21.json,snapshot_2026_05_14.json
175,map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,4,4,52,52,48,48,snapshot_2026_05_21.json,snapshot_2026_05_14.json
