rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
63,map,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,25,25,71,71,46,46,snapshot_2026_05_21.json,snapshot_2026_05_14.json
64,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,24,24,214,214,190,190,snapshot_2026_05_21.json,snapshot_2026_05_14.json
65,map,yukina-pl-bialystok,Białystok,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,24,24,31,31,7,7,snapshot_2026_05_21.json,snapshot_2026_05_14.json
66,map,yukina-pl-szczecin,Szczecin,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,24,24,30,30,6,6,snapshot_2026_05_21.json,snapshot_2026_05_14.json
67,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,23,23,447,447,424,424,snapshot_2026_05_21.json,snapshot_2026_05_14.json
68,map,yukina-cz-olomouc,Olomouc,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,23,23,65,65,42,42,snapshot_2026_05_21.json,snapshot_2026_05_14.json
69,map,yukina-cz-plzen,Plzeň,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,22,22,87,87,65,65,snapshot_2026_05_21.json,snapshot_2026_05_14.json
70,map,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,21,21,78,78,57,57,snapshot_2026_05_21.json,snapshot_2026_05_14.json
71,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,20,20,550,550,530,530,snapshot_2026_05_21.json,snapshot_2026_05_14.json
72,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,20,20,427,427,407,407,snapshot_2026_05_21.json,snapshot_2026_05_14.json
73,map,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,20,20,340,340,320,320,snapshot_2026_05_21.json,snapshot_2026_05_14.json
74,map,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,20,20,55,55,35,35,snapshot_2026_05_21.json,snapshot_2026_05_14.json
75,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,19,19,346,346,327,327,snapshot_2026_05_21.json,snapshot_2026_05_14.json
76,map,yukina-pl-lublin,Lublin,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,18,18,24,24,6,6,snapshot_2026_05_21.json,snapshot_2026_05_14.json
77,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,17,17,274,274,257,257,snapshot_2026_05_21.json,snapshot_2026_05_14.json
78,map,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,16,16,439,439,423,423,snapshot_2026_05_21.json,snapshot_2026_05_14.json
79,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,16,16,402,402,386,386,snapshot_2026_05_21.json,snapshot_2026_05_14.json
80,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,16,16,364,364,348,348,snapshot_2026_05_21.json,snapshot_2026_05_14.json
81,mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,16,16,204,204,188,188,snapshot_2026_05_21.json,snapshot_2026_05_14.json
82,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,15,15,135,135,120,120,snapshot_2026_05_21.json,snapshot_2026_05_14.json
83,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,14,14,407,407,393,393,snapshot_2026_05_21.json,snapshot_2026_05_14.json
84,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,14,14,380,380,366,366,snapshot_2026_05_21.json,snapshot_2026_05_14.json
85,map,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,14,14,258,258,244,244,snapshot_2026_05_21.json,snapshot_2026_05_14.json
86,map,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,14,14,238,238,224,224,snapshot_2026_05_21.json,snapshot_2026_05_14.json
87,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,362,362,349,349,snapshot_2026_05_21.json,snapshot_2026_05_14.json
88,map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,13,13,324,324,311,311,snapshot_2026_05_21.json,snapshot_2026_05_14.json
89,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,13,13,260,260,247,247,snapshot_2026_05_21.json,snapshot_2026_05_14.json
90,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,13,13,256,256,243,243,snapshot_2026_05_21.json,snapshot_2026_05_14.json
91,map,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,13,205,205,192,192,snapshot_2026_05_21.json,snapshot_2026_05_14.json
92,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,13,13,127,127,114,114,snapshot_2026_05_21.json,snapshot_2026_05_14.json
93,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,13,13,122,122,109,109,snapshot_2026_05_21.json,snapshot_2026_05_14.json
94,map,yukina-pl-rzeszow,Rzeszów,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,17,17,4,4,snapshot_2026_05_21.json,snapshot_2026_05_14.json
95,map,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,12,12,254,254,242,242,snapshot_2026_05_21.json,snapshot_2026_05_14.json
96,map,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry,slurry,https://github.com/rslurry,12,12,112,112,100,100,snapshot_2026_05_21.json,snapshot_2026_05_14.json
97,map,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,12,12,54,54,42,42,snapshot_2026_05_21.json,snapshot_2026_05_14.json
98,map,mexicali,Mexicali-Imperial Valley-Yuma,rslurry,slurry,https://github.com/rslurry,12,12,12,12,0,0,snapshot_2026_05_21.json,snapshot_2026_05_14.json
99,map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,11,11,365,365,354,354,snapshot_2026_05_21.json,snapshot_2026_05_14.json
100,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,11,11,346,346,335,335,snapshot_2026_05_21.json,snapshot_2026_05_14.json
101,map,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,11,11,257,257,246,246,snapshot_2026_05_21.json,snapshot_2026_05_14.json
102,map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,11,11,191,191,180,180,snapshot_2026_05_21.json,snapshot_2026_05_14.json
103,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,11,11,144,144,133,133,snapshot_2026_05_21.json,snapshot_2026_05_14.json
104,mod,tathan-casino,TATHAN Casino,TathanDev,TathanDev,https://github.com/TathanDev,11,11,104,104,93,93,snapshot_2026_05_21.json,snapshot_2026_05_14.json
105,map,buffalo-ny,Buffalo,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,11,11,103,103,92,92,snapshot_2026_05_21.json,snapshot_2026_05_14.json
