author,author_alias,attribution_link,asset_count,map_count,mod_count,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31,2026_04_01,2026_04_02,2026_04_03,2026_04_04,2026_04_05,2026_04_06,2026_04_07,2026_04_08,2026_04_09,2026_04_10,2026_04_11,2026_04_12,2026_04_13,2026_04_14,2026_04_15,2026_04_16,2026_04_17,2026_04_18,2026_04_19,2026_04_20,2026_04_21,2026_04_22,2026_04_23,2026_04_24,2026_04_25,2026_04_26,2026_04_27,2026_04_28,2026_04_29,2026_04_30,2026_05_01,2026_05_02,2026_05_03,2026_05_04,2026_05_05,2026_05_06,2026_05_07,2026_05_08,2026_05_09,2026_05_10,2026_05_11,2026_05_12,2026_05_13,2026_05_14,2026_05_15,2026_05_16,2026_05_17,2026_05_18,2026_05_19,2026_05_20,2026_05_21
ahkimn,Yukina-,https://subwaybuildermodded.com/credits,51,50,1,10621,522,92,82,71,176,103,43,51,58,41,59,38,75,74,92,91,112,120,155,286,147,220,121,107,126,258,236,203,244,204,191,180,229,164,94,117,78,166,78,200,169,96,164,111,110,88,195,282,278,156,95,143,134,198,176,136,133,119,135,95,96,115,120,148,158,194,126,151,94,265,271,166
rslurry,slurry,https://github.com/rslurry,29,29,0,8740,103,22,15,61,77,24,43,23,32,39,61,34,69,31,43,53,62,35,62,131,62,124,90,75,84,140,124,202,264,166,289,269,267,135,122,110,83,194,209,188,219,219,208,174,105,125,135,216,246,173,130,103,113,207,223,139,89,108,109,148,135,147,111,103,98,139,128,118,94,121,64,76
stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,6561,233,42,63,55,34,41,66,34,32,47,43,40,44,33,47,39,61,65,97,142,157,164,91,84,91,135,249,147,170,166,186,202,162,116,74,74,66,178,127,184,212,116,105,58,64,173,196,172,102,103,74,75,66,78,76,63,42,43,64,50,62,66,61,44,54,45,48,43,28,36,31,30
devenperez,devenperez,https://github.com/devenperez,8,8,0,5216,1278,54,56,0,139,11,26,54,46,46,62,43,63,53,70,41,39,49,44,123,91,98,74,52,52,69,70,107,145,144,108,106,134,79,66,75,46,38,46,44,46,72,33,41,36,51,53,60,52,44,29,30,39,47,57,29,31,26,46,67,40,42,22,29,36,32,45,27,21,23,35,34
Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,5162,0,0,0,0,2,16,43,39,38,50,49,37,54,53,65,58,39,34,45,169,134,90,34,30,43,91,86,44,231,120,142,137,177,147,103,130,91,87,103,113,110,61,77,56,57,103,132,124,96,73,62,71,80,88,77,75,67,61,62,70,75,61,66,50,72,37,42,52,45,55,37,44
kimth9,kimth9,https://github.com/kimth9,20,19,1,4837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,345,298,200,144,187,139,166,173,72,129,140,198,134,186,125,115,41,96,144,107,97,89,68,90,111,117,74,41,69,84,82,99,50,30,52,60,34,50
Maximilian284,max02,https://github.com/Maximilian284,18,18,0,4251,57,18,7,25,20,3,0,195,29,7,18,4,16,14,25,63,37,19,32,83,58,246,109,98,109,95,69,47,186,122,171,130,243,146,98,110,98,59,43,73,43,31,38,41,26,35,74,76,63,38,46,42,55,51,51,21,31,27,56,34,47,30,18,41,56,18,29,23,29,46,27,26
crumpetime,muffintime,https://github.com/crumpetime,7,6,1,3753,77,13,30,50,64,40,45,40,32,39,71,65,58,34,58,57,59,44,64,103,76,82,59,56,63,70,73,49,98,60,68,73,122,64,47,57,50,39,65,51,60,40,48,34,41,50,85,93,50,59,36,42,45,63,41,35,30,42,39,39,40,50,39,37,45,30,29,38,20,35,30,23
Kronifer,Kronifer,https://github.com/Kronifer,7,7,0,3128,226,20,33,30,16,8,9,13,18,5,28,15,27,9,20,32,92,63,67,66,76,71,36,43,32,32,25,30,64,41,28,35,58,38,34,42,29,16,22,24,20,13,22,19,19,27,34,78,45,40,78,103,89,61,46,61,50,41,51,47,95,54,64,65,57,48,32,35,56,32,29,44
nzh0172,naz,https://github.com/nzh0172,7,5,2,2500,0,0,0,0,0,0,0,0,8,17,17,10,24,16,19,20,39,34,35,40,47,31,40,35,30,78,73,57,82,51,55,63,100,60,44,46,32,34,32,38,39,22,22,16,26,45,64,56,36,30,24,30,42,38,50,29,31,29,26,34,49,59,71,51,54,33,30,42,31,25,34,25
BarKuperman,BarKuperman,https://github.com/BarKuperman,3,2,1,2090,151,19,38,30,18,9,22,14,19,25,34,14,22,12,24,18,21,16,16,55,27,34,28,22,26,35,23,16,38,27,21,56,132,68,55,43,43,41,28,37,47,24,21,21,22,25,38,46,26,29,18,25,18,26,30,12,13,17,13,30,22,27,22,18,19,11,18,20,16,18,9,12
ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,1931,63,8,23,25,24,6,6,7,7,13,11,1,16,5,31,16,22,21,29,75,34,65,32,21,28,27,27,26,73,35,51,97,91,49,27,45,23,24,21,25,22,21,20,37,37,30,39,38,20,25,25,17,17,30,28,22,15,20,10,23,19,15,11,10,8,26,27,24,15,25,15,10
DanielD1909,DanielD1909,https://github.com/DanielD1909,2,1,1,1928,0,0,0,9,37,31,37,40,36,35,32,35,32,23,26,36,60,33,40,57,51,45,21,35,15,35,42,18,41,61,65,47,54,82,37,38,26,30,28,32,33,26,21,14,14,15,36,29,22,28,15,17,17,20,23,18,18,10,8,8,10,23,14,11,7,10,11,14,14,9,7,4
