rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
42,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,TLV,IL,2497200,12486,1301,630,2.06,0.436,0.558,0.371,0.488,0.402,0.69,987,3400,4481.88,87.62,1400,4033.01,98.1,12643,15912.4,2,0.51
43,daejeon-3,Daejeon (30km×30km),kimth9,kimth9,https://github.com/kimth9,DAJ3,KR,2201895,32378,863,350,2.37,0.403,0.4,0.403,0.403,0.403,0.61,772,1763,6246.14,99.71,5692,15836.22,100,4691,5790.81,1,0.42
44,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,ZRH,CH,2147370,98878,39672,6555,5.99,0.139,0.149,0.131,0.143,0.135,1,5617,44,382.54,85.26,33,331.15,98.37,26671,34216.83,1,0.45
45,gwangju-4,Gwangju (40km×40km),kimth9,kimth9,https://github.com/kimth9,KWJ4,KR,2140345,32755,951,413,2.16,0.409,0.406,0.409,0.412,0.409,0.63,872,739,5587.96,92.25,2779,11938.32,100,5637,6845.99,1,0.32
46,gwangju-3,Gwangju (30km×30km),kimth9,kimth9,https://github.com/kimth9,KWJ3,KR,2134804,32341,848,342,2.3,0.409,0.403,0.409,0.405,0.409,0.6,668,1317,6653.63,91.23,3434,13623.01,100,5637,6758.31,1,0.31
47,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,WAW,PL,2115324,19327,622,409,1.5,0.5,0.547,0.466,0.519,0.482,0.66,606,7636,11470.62,100,2564,5316.58,98.78,8371,9054.29,2,0.16
48,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,WAR,PL,2008754,49556,30981,9771,3.17,0.147,0.185,0.16,0.189,0.153,1,12740,44,229.05,89.75,60,343.36,59.87,7497,14813.45,1,0.76
49,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,KMSP,US,2003945,304108,5866,4652,1.26,0.684,0.756,0.41,0.464,0.529,0.47,11111,203,438.86,98.15,127,487.1,88.44,30014,34856.81,1,0.47
50,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,DCA,US,2003362,145916,5548,3651,1.51,0.519,0.581,0.395,0.458,0.453,0.71,5773,320,552.17,99.34,162,560.9,97.1,26687,31234.69,2,0.55
51,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,UKY,JP,1985453,31656,10156,1423,7.13,0.152,0.175,0.147,0.167,0.15,0.93,2380,506,1587.89,87.84,507,1640.68,85.03,6058,9589.39,2,0.8
