rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
64,map,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,258,258,snapshot_2026_05_21.json
65,map,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,257,257,snapshot_2026_05_21.json
66,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,256,256,snapshot_2026_05_21.json
67,map,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,254,254,snapshot_2026_05_21.json
68,map,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,250,250,snapshot_2026_05_21.json
69,map,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,247,247,snapshot_2026_05_21.json
70,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,241,241,snapshot_2026_05_21.json
71,map,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,238,238,snapshot_2026_05_21.json
72,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,238,238,snapshot_2026_05_21.json
73,map,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,225,225,snapshot_2026_05_21.json
74,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,214,214,snapshot_2026_05_21.json
75,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,211,211,snapshot_2026_05_21.json
76,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,205,205,snapshot_2026_05_21.json
77,map,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,205,205,snapshot_2026_05_21.json
78,mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,204,204,snapshot_2026_05_21.json
79,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,194,194,snapshot_2026_05_21.json
80,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,193,193,snapshot_2026_05_21.json
81,map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,191,191,snapshot_2026_05_21.json
82,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,190,190,snapshot_2026_05_21.json
83,map,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,183,183,snapshot_2026_05_21.json
84,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,179,179,snapshot_2026_05_21.json
85,map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,170,170,snapshot_2026_05_21.json
86,map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,168,168,snapshot_2026_05_21.json
87,map,sejong-4,Sejong (40km×40km),kimth9,kimth9,https://github.com/kimth9,164,164,snapshot_2026_05_21.json
88,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,164,164,snapshot_2026_05_21.json
89,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,162,162,snapshot_2026_05_21.json
90,map,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,156,156,snapshot_2026_05_21.json
91,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,155,155,snapshot_2026_05_21.json
92,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,155,155,snapshot_2026_05_21.json
93,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,154,154,snapshot_2026_05_21.json
94,map,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,150,150,snapshot_2026_05_21.json
95,map,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,148,148,snapshot_2026_05_21.json
96,map,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,148,148,snapshot_2026_05_21.json
97,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,146,132,snapshot_2026_05_21.json
98,map,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,146,146,snapshot_2026_05_21.json
99,map,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,145,145,snapshot_2026_05_21.json
100,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,144,144,snapshot_2026_05_21.json
101,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,143,143,snapshot_2026_05_21.json
102,map,ulsan-4,Ulsan (40km×40km),kimth9,kimth9,https://github.com/kimth9,143,143,snapshot_2026_05_21.json
103,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,135,135,snapshot_2026_05_21.json
104,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,134,134,snapshot_2026_05_21.json
105,map,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,133,133,snapshot_2026_05_21.json
106,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,132,132,snapshot_2026_05_21.json
107,map,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,132,132,snapshot_2026_05_21.json
108,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,130,130,snapshot_2026_05_21.json
109,map,turin,Turin,Maximilian284,max02,https://github.com/Maximilian284,130,130,snapshot_2026_05_21.json
110,map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,129,129,snapshot_2026_05_21.json
111,map,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,129,129,snapshot_2026_05_21.json
112,map,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,129,129,snapshot_2026_05_21.json
113,map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,129,129,snapshot_2026_05_21.json
114,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,127,127,snapshot_2026_05_21.json
115,map,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,126,126,snapshot_2026_05_21.json
116,map,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,125,125,snapshot_2026_05_21.json
117,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,125,125,snapshot_2026_05_21.json
118,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,123,123,snapshot_2026_05_21.json
119,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,122,122,snapshot_2026_05_21.json
120,map,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,118,118,snapshot_2026_05_21.json
121,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,115,115,snapshot_2026_05_21.json
122,map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,115,115,snapshot_2026_05_21.json
123,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,114,114,snapshot_2026_05_21.json
124,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,114,114,snapshot_2026_05_21.json
125,map,mfn-hamptonroads,Norfolk,crumpetime,muffintime,https://github.com/crumpetime,113,101,snapshot_2026_05_21.json
126,map,rochester,Rochester,rslurry,slurry,https://github.com/rslurry,113,113,snapshot_2026_05_21.json
127,map,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry,slurry,https://github.com/rslurry,112,112,snapshot_2026_05_21.json
128,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,112,112,snapshot_2026_05_21.json
129,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,112,112,snapshot_2026_05_21.json
130,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,109,109,snapshot_2026_05_21.json
131,map,bari,Bari,Maximilian284,max02,https://github.com/Maximilian284,105,105,snapshot_2026_05_21.json
132,map,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,105,105,snapshot_2026_05_21.json
133,map,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,105,105,snapshot_2026_05_21.json
134,map,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,105,105,snapshot_2026_05_21.json
135,map,greater-baltimore,Greater Baltimore,rslurry,slurry,https://github.com/rslurry,104,104,snapshot_2026_05_21.json
136,mod,tathan-casino,TATHAN Casino,TathanDev,TathanDev,https://github.com/TathanDev,104,104,snapshot_2026_05_21.json
137,map,buffalo-ny,Buffalo,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,103,103,snapshot_2026_05_21.json
138,map,mfn-northwestar,Northwest Arkansas,crumpetime,muffintime,https://github.com/crumpetime,103,103,snapshot_2026_05_21.json
139,map,santa-barbara,Santa Barbara,rslurry,slurry,https://github.com/rslurry,103,103,snapshot_2026_05_21.json
140,map,pyongyang-nk,Pyongyang,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,102,102,snapshot_2026_05_21.json
141,map,memphis,Memphis,rslurry,slurry,https://github.com/rslurry,97,97,snapshot_2026_05_21.json
142,map,daegu-4,Daegu (40km×40km),kimth9,kimth9,https://github.com/kimth9,96,96,snapshot_2026_05_21.json
143,map,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,90,90,snapshot_2026_05_21.json
144,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,90,90,snapshot_2026_05_21.json
145,map,yukina-cz-plzen,Plzeň,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,87,87,snapshot_2026_05_21.json
146,map,catania,Catania,Maximilian284,max02,https://github.com/Maximilian284,83,83,snapshot_2026_05_21.json
147,map,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,83,83,snapshot_2026_05_21.json
148,map,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,83,83,snapshot_2026_05_21.json
149,map,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,83,83,snapshot_2026_05_21.json
150,map,saltillo,Saltillo,rslurry,slurry,https://github.com/rslurry,82,82,snapshot_2026_05_21.json
151,map,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,79,79,snapshot_2026_05_21.json
152,map,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,78,78,snapshot_2026_05_21.json
153,map,palermo,Palermo,Maximilian284,max02,https://github.com/Maximilian284,77,77,snapshot_2026_05_21.json
154,map,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,77,77,snapshot_2026_05_21.json
155,map,yukina-bydgoszcz-torun,Bydgoszcz - Toruń,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,76,76,snapshot_2026_05_21.json
156,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,72,72,snapshot_2026_05_21.json
157,map,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,71,71,snapshot_2026_05_21.json
158,map,charleston-sc,"Charleston, SC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,69,69,snapshot_2026_05_21.json
159,map,yukina-cz-olomouc,Olomouc,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,65,65,snapshot_2026_05_21.json
160,map,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,64,64,snapshot_2026_05_21.json
161,map,yukina-asahikawa,旭川 (Asahikawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,63,63,snapshot_2026_05_21.json
162,map,daejeon-4,Daejeon (40km×40km),kimth9,kimth9,https://github.com/kimth9,62,62,snapshot_2026_05_21.json
163,map,greater-portland,Greater Portland,rslurry,slurry,https://github.com/rslurry,62,62,snapshot_2026_05_21.json
164,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,61,61,snapshot_2026_05_21.json
165,map,gwangju-4,Gwangju (40km×40km),kimth9,kimth9,https://github.com/kimth9,60,60,snapshot_2026_05_21.json
166,map,knoxville,Knoxville,rslurry,slurry,https://github.com/rslurry,60,44,snapshot_2026_05_21.json
167,map,yukina-takamatsu,高松 (Takamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,60,60,snapshot_2026_05_21.json
168,map,mfn-rdu,Raleigh,crumpetime,muffintime,https://github.com/crumpetime,57,57,snapshot_2026_05_21.json
169,map,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,55,55,snapshot_2026_05_21.json
170,map,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,55,55,snapshot_2026_05_21.json
171,map,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,54,54,snapshot_2026_05_21.json
172,map,yukina-tsugaru,津軽 (Tsugaru),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,54,54,snapshot_2026_05_21.json
173,map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,52,52,snapshot_2026_05_21.json
174,map,gwangju-3,Gwangju (30km×30km),kimth9,kimth9,https://github.com/kimth9,49,49,snapshot_2026_05_21.json
175,map,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,49,49,snapshot_2026_05_21.json
176,map,ulsan-3,Ulsan (30km×30km),kimth9,kimth9,https://github.com/kimth9,49,49,snapshot_2026_05_21.json
177,map,yukina-pl-poznan,Poznań,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,46,46,snapshot_2026_05_21.json
178,map,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,43,43,snapshot_2026_05_21.json
