rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,159,159,357,357,198,198,snapshot_2026_05_21.json,snapshot_2026_05_18.json
2,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,97,97,6561,6561,6464,6464,snapshot_2026_05_21.json,snapshot_2026_05_18.json
3,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,97,97,625,625,528,528,snapshot_2026_05_21.json,snapshot_2026_05_18.json
4,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,69,69,154,154,85,85,snapshot_2026_05_21.json,snapshot_2026_05_18.json
5,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,54,54,2232,2232,2178,2178,snapshot_2026_05_21.json,snapshot_2026_05_18.json
6,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,53,53,211,211,158,158,snapshot_2026_05_21.json,snapshot_2026_05_18.json
7,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,51,51,1643,1643,1592,1592,snapshot_2026_05_21.json,snapshot_2026_05_18.json
8,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,49,49,830,830,781,781,snapshot_2026_05_21.json,snapshot_2026_05_18.json
9,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,48,48,1871,1871,1823,1823,snapshot_2026_05_21.json,snapshot_2026_05_18.json
10,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,47,47,194,194,147,147,snapshot_2026_05_21.json,snapshot_2026_05_18.json
11,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,42,42,1958,1958,1916,1916,snapshot_2026_05_21.json,snapshot_2026_05_18.json
12,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,36,36,1360,1360,1324,1324,snapshot_2026_05_21.json,snapshot_2026_05_18.json
13,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,36,36,1001,1001,965,965,snapshot_2026_05_21.json,snapshot_2026_05_18.json
14,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,36,36,162,162,126,126,snapshot_2026_05_21.json,snapshot_2026_05_18.json
15,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,35,35,1440,1440,1405,1405,snapshot_2026_05_21.json,snapshot_2026_05_18.json
16,map,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,34,34,368,368,334,334,snapshot_2026_05_21.json,snapshot_2026_05_18.json
17,map,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,32,32,691,691,659,659,snapshot_2026_05_21.json,snapshot_2026_05_18.json
18,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,30,30,1623,1623,1593,1593,snapshot_2026_05_21.json,snapshot_2026_05_18.json
19,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,30,30,1337,1337,1307,1307,snapshot_2026_05_21.json,snapshot_2026_05_18.json
20,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,30,30,1074,1074,1044,1044,snapshot_2026_05_21.json,snapshot_2026_05_18.json
21,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,29,29,1436,1436,1407,1407,snapshot_2026_05_21.json,snapshot_2026_05_18.json
22,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,29,164,164,135,135,snapshot_2026_05_21.json,snapshot_2026_05_18.json
23,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,27,27,929,929,902,902,snapshot_2026_05_21.json,snapshot_2026_05_18.json
24,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,26,26,123,123,97,97,snapshot_2026_05_21.json,snapshot_2026_05_18.json
25,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,26,26,109,109,83,83,snapshot_2026_05_21.json,snapshot_2026_05_18.json
26,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,25,25,570,570,545,545,snapshot_2026_05_21.json,snapshot_2026_05_18.json
27,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,25,25,61,61,36,36,snapshot_2026_05_21.json,snapshot_2026_05_18.json
28,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,24,24,1562,1562,1538,1538,snapshot_2026_05_21.json,snapshot_2026_05_18.json
29,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,24,24,1075,1075,1051,1051,snapshot_2026_05_21.json,snapshot_2026_05_18.json
30,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,24,24,938,938,914,914,snapshot_2026_05_21.json,snapshot_2026_05_18.json
31,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,24,24,115,115,91,91,snapshot_2026_05_21.json,snapshot_2026_05_18.json
32,map,greater-portland,Greater Portland,rslurry,slurry,https://github.com/rslurry,24,24,62,62,38,38,snapshot_2026_05_21.json,snapshot_2026_05_18.json
33,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,23,23,857,857,834,834,snapshot_2026_05_21.json,snapshot_2026_05_18.json
34,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,20,20,1089,1089,1069,1069,snapshot_2026_05_21.json,snapshot_2026_05_18.json
35,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,20,20,1005,1005,985,985,snapshot_2026_05_21.json,snapshot_2026_05_18.json
36,map,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,20,20,105,105,85,85,snapshot_2026_05_21.json,snapshot_2026_05_18.json
37,map,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,20,20,71,71,51,51,snapshot_2026_05_21.json,snapshot_2026_05_18.json
38,map,yukina-pl-poznan,Poznań,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,20,20,46,46,26,26,snapshot_2026_05_21.json,snapshot_2026_05_18.json
39,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,19,19,1030,1030,1011,1011,snapshot_2026_05_21.json,snapshot_2026_05_18.json
40,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,19,19,112,112,93,93,snapshot_2026_05_21.json,snapshot_2026_05_18.json
41,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,18,18,1723,1723,1705,1705,snapshot_2026_05_21.json,snapshot_2026_05_18.json
42,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,18,18,721,721,703,703,snapshot_2026_05_21.json,snapshot_2026_05_18.json
43,map,yukina-cz-plzen,Plzeň,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,18,18,87,87,69,69,snapshot_2026_05_21.json,snapshot_2026_05_18.json
44,map,yukina-bydgoszcz-torun,Bydgoszcz - Toruń,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,18,18,76,76,58,58,snapshot_2026_05_21.json,snapshot_2026_05_18.json
45,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,17,17,896,896,879,879,snapshot_2026_05_21.json,snapshot_2026_05_18.json
46,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,17,17,712,712,695,695,snapshot_2026_05_21.json,snapshot_2026_05_18.json
47,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,17,17,568,568,551,551,snapshot_2026_05_21.json,snapshot_2026_05_18.json
