rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,21,893,893,2204,2204,1311,1311,snapshot_2026_05_21.json,snapshot_2026_05_14.json
2,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,29,740,745,8740,8724,8000,7979,snapshot_2026_05_21.json,snapshot_2026_05_14.json
3,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,359,359,4633,4633,4274,4274,snapshot_2026_05_21.json,snapshot_2026_05_14.json
4,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,290,290,357,357,67,67,snapshot_2026_05_21.json,snapshot_2026_05_14.json
5,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,261,261,6561,6561,6300,6300,snapshot_2026_05_21.json,snapshot_2026_05_14.json
6,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,253,253,6459,6459,6206,6206,snapshot_2026_05_21.json,snapshot_2026_05_14.json
7,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,217,217,5216,5216,4999,4999,snapshot_2026_05_21.json,snapshot_2026_05_14.json
8,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,161,161,1643,1643,1482,1482,snapshot_2026_05_21.json,snapshot_2026_05_14.json
9,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,3,158,158,865,865,707,707,snapshot_2026_05_21.json,snapshot_2026_05_14.json
10,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,142,142,1931,1931,1789,1789,snapshot_2026_05_21.json,snapshot_2026_05_14.json
11,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,136,136,2229,2229,2093,2093,snapshot_2026_05_21.json,snapshot_2026_05_14.json
12,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,122,122,830,830,708,708,snapshot_2026_05_21.json,snapshot_2026_05_14.json
13,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,121,121,1958,1958,1837,1837,snapshot_2026_05_21.json,snapshot_2026_05_14.json
14,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,117,117,1871,1871,1754,1754,snapshot_2026_05_21.json,snapshot_2026_05_14.json
15,transitcore/satellite-overview,Satellite-Overview,TransitCore,TransitCore,https://github.com/TransitCore,1,117,117,194,194,77,77,snapshot_2026_05_21.json,snapshot_2026_05_14.json
16,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,4,106,106,2079,2079,1973,1973,snapshot_2026_05_21.json,snapshot_2026_05_14.json
17,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,92,92,2172,2172,2080,2080,snapshot_2026_05_21.json,snapshot_2026_05_14.json
18,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,84,84,1623,1623,1539,1539,snapshot_2026_05_21.json,snapshot_2026_05_14.json
19,pswbsf/charleston-huntington-wv,charleston-huntington-wv,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,82,82,368,368,286,286,snapshot_2026_05_21.json,snapshot_2026_05_14.json
20,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,81,81,1440,1440,1359,1359,snapshot_2026_05_21.json,snapshot_2026_05_14.json
21,kaicardenas0618/chinese-trains,chinese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,76,76,109,109,33,33,snapshot_2026_05_21.json,snapshot_2026_05_14.json
22,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,74,74,1337,1337,1263,1263,snapshot_2026_05_21.json,snapshot_2026_05_14.json
23,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,65,65,1436,1436,1371,1371,snapshot_2026_05_21.json,snapshot_2026_05_14.json
24,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,65,65,1089,1089,1024,1024,snapshot_2026_05_21.json,snapshot_2026_05_14.json
25,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,63,63,929,929,866,866,snapshot_2026_05_21.json,snapshot_2026_05_14.json
26,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,62,62,1723,1723,1661,1661,snapshot_2026_05_21.json,snapshot_2026_05_14.json
27,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,53,53,938,938,885,885,snapshot_2026_05_21.json,snapshot_2026_05_14.json
28,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,48,48,568,568,520,520,snapshot_2026_05_21.json,snapshot_2026_05_14.json
29,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,45,45,777,777,732,732,snapshot_2026_05_21.json,snapshot_2026_05_14.json
30,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,45,45,752,752,707,707,snapshot_2026_05_21.json,snapshot_2026_05_14.json
31,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,42,42,1030,1030,988,988,snapshot_2026_05_21.json,snapshot_2026_05_14.json
32,lechicken-nyc/greater-new-york,greater-new-york,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,30,30,225,225,195,195,snapshot_2026_05_21.json,snapshot_2026_05_14.json
33,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,25,25,329,329,304,304,snapshot_2026_05_21.json,snapshot_2026_05_14.json
34,soccerjonj/daytonnati,Daytonnati,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,24,24,214,214,190,190,snapshot_2026_05_21.json,snapshot_2026_05_14.json
35,kronifer/sb-dublin-map,sb-dublin-map,Kronifer,Kronifer,https://github.com/Kronifer,1,20,20,427,427,407,407,snapshot_2026_05_21.json,snapshot_2026_05_14.json
36,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,17,17,274,274,257,257,snapshot_2026_05_21.json,snapshot_2026_05_14.json
37,kimth9/sb_korean_transit_pack_v2,sb_korean_transit_pack_v2,kimth9,kimth9,https://github.com/kimth9,1,16,16,204,204,188,188,snapshot_2026_05_21.json,snapshot_2026_05_14.json
38,nzh0172/sb-bangkok,sb-bangkok,nzh0172,naz,https://github.com/nzh0172,1,14,14,238,238,224,224,snapshot_2026_05_21.json,snapshot_2026_05_14.json
39,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,naz,https://github.com/nzh0172,1,13,13,256,256,243,243,snapshot_2026_05_21.json,snapshot_2026_05_14.json
40,kaicardenas0618/subway-builder-sfl,subway-builder-sfl,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,13,13,205,205,192,192,snapshot_2026_05_21.json,snapshot_2026_05_14.json
41,pswbsf/anchorage-ak,anchorage-ak,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,13,13,122,122,109,109,snapshot_2026_05_21.json,snapshot_2026_05_14.json
42,pswbsf/dayton-oh,dayton-oh,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,12,12,54,54,42,42,snapshot_2026_05_21.json,snapshot_2026_05_14.json
43,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,11,11,144,144,133,133,snapshot_2026_05_21.json,snapshot_2026_05_14.json
44,tathandev/tathancasino,TathanCasino,TathanDev,TathanDev,https://github.com/TathanDev,1,11,11,104,104,93,93,snapshot_2026_05_21.json,snapshot_2026_05_14.json
